Bölge Kodu	Ürün	Ay	Aylýk Gerç
Baþkent 1	Ürün1	31.01.2016	738.971
Baþkent 1	Ürün1	29.02.2016	813.760
Baþkent 1	Ürün1	31.03.2016	775.662
Baþkent 1	Ürün1	30.04.2016	892.303
Baþkent 1	Ürün1	31.05.2016	937.167
Baþkent 1	Ürün1	30.06.2016	1.076.585
Baþkent 1	Ürün1	31.07.2016	1.093.481
Baþkent 1	Ürün1	31.08.2016	1.141.094
Baþkent 1	Ürün1	30.09.2016	1.145.051
Baþkent 2	Ürün1	30.04.2016	873.683
Baþkent 2	Ürün1	31.05.2016	1.120.594
Baþkent 2	Ürün1	30.06.2016	875.797
Baþkent 2	Ürün1	31.07.2016	1.216.388
Baþkent 2	Ürün1	31.08.2016	1.041.974
Baþkent 2	Ürün1	30.09.2016	903.344
Batý Karadeniz	Ürün1	31.01.2016	728.118
Batý Karadeniz	Ürün1	29.02.2016	745.962
Batý Karadeniz	Ürün1	31.03.2016	857.940
Batý Karadeniz	Ürün1	30.04.2016	760.212
Batý Karadeniz	Ürün1	31.05.2016	876.685
Batý Karadeniz	Ürün1	30.06.2016	861.273
Batý Karadeniz	Ürün1	31.07.2016	1.010.610
Batý Karadeniz	Ürün1	31.08.2016	1.056.756
Batý Karadeniz	Ürün1	30.09.2016	1.203.230
Doðru Karadeniz	Ürün1	31.01.2016	608.817
Doðru Karadeniz	Ürün1	29.02.2016	818.232
Doðru Karadeniz	Ürün1	31.03.2016	771.823
Doðru Karadeniz	Ürün1	30.04.2016	768.338
Doðru Karadeniz	Ürün1	31.05.2016	715.172
Doðru Karadeniz	Ürün1	30.06.2016	938.120
Doðru Karadeniz	Ürün1	31.07.2016	799.524
Doðru Karadeniz	Ürün1	31.08.2016	1.099.910
Doðru Karadeniz	Ürün1	30.09.2016	1.071.637
Doðu Anadolu	Ürün1	31.01.2016	296.695
Doðu Anadolu	Ürün1	29.02.2016	328.445
Doðu Anadolu	Ürün1	31.03.2016	327.926
Doðu Anadolu	Ürün1	30.04.2016	320.223
Doðu Anadolu	Ürün1	31.05.2016	383.868
Doðu Anadolu	Ürün1	30.06.2016	310.745
Doðu Anadolu	Ürün1	31.07.2016	357.237
Ege 1	Ürün1	31.01.2016	1.068.375
Ege 1	Ürün1	29.02.2016	912.019
Ege 1	Ürün1	31.03.2016	1.033.142
Ege 1	Ürün1	30.04.2016	1.070.127
Ege 1	Ürün1	31.05.2016	1.054.620
Ege 1	Ürün1	30.06.2016	1.083.841
Ege 1	Ürün1	31.07.2016	999.322
Ege 1	Ürün1	31.08.2016	865.796
Ege 1	Ürün1	30.09.2016	1.228.601
Ege 2	Ürün1	31.01.2016	680.064
Ege 2	Ürün1	29.02.2016	580.324
Ege 2	Ürün1	31.03.2016	586.945
Ege 2	Ürün1	30.04.2016	760.152
Ege 2	Ürün1	31.05.2016	581.392
Ege 2	Ürün1	30.06.2016	763.842
Ege 2	Ürün1	31.07.2016	672.993
Ege 2	Ürün1	31.08.2016	717.650
Ege 2	Ürün1	30.09.2016	972.437
Güney Akdeniz	Ürün1	31.01.2016	718.690
Güney Akdeniz	Ürün1	29.02.2016	495.572
Güney Akdeniz	Ürün1	31.03.2016	514.221
Güney Akdeniz	Ürün1	30.04.2016	450.705
Güney Akdeniz	Ürün1	31.05.2016	513.888
Güney Akdeniz	Ürün1	30.06.2016	600.993
Güney Akdeniz	Ürün1	31.07.2016	525.474
Güney Akdeniz	Ürün1	31.08.2016	649.879
Güney Akdeniz	Ürün1	30.09.2016	584.905
Güneydoðu Anadolu	Ürün1	31.01.2016	1.073.714
Güneydoðu Anadolu	Ürün1	29.02.2016	857.221
Güneydoðu Anadolu	Ürün1	31.03.2016	935.934
Güneydoðu Anadolu	Ürün1	30.04.2016	940.393
Güneydoðu Anadolu	Ürün1	31.05.2016	1.101.598
Güneydoðu Anadolu	Ürün1	30.06.2016	1.147.319
Güneydoðu Anadolu	Ürün1	31.07.2016	1.316.704
Güneydoðu Anadolu	Ürün1	31.08.2016	1.143.813
Güneydoðu Anadolu	Ürün1	30.09.2016	989.660
Ýç Anadolu	Ürün1	31.01.2016	1.089.183
Ýç Anadolu	Ürün1	29.02.2016	868.302
Ýç Anadolu	Ürün1	31.03.2016	865.564
Ýç Anadolu	Ürün1	30.04.2016	812.765
Ýç Anadolu	Ürün1	31.05.2016	946.154
Ýç Anadolu	Ürün1	30.06.2016	897.281
Ýç Anadolu	Ürün1	31.07.2016	1.097.862
Ýç Anadolu	Ürün1	31.08.2016	1.167.754
Ýç Anadolu	Ürün1	30.09.2016	903.715
Ýstanbul 1	Ürün1	31.01.2016	1.196.204
Ýstanbul 1	Ürün1	29.02.2016	946.416
Ýstanbul 1	Ürün1	31.03.2016	1.210.731
Ýstanbul 1	Ürün1	30.04.2016	1.087.008
Ýstanbul 1	Ürün1	31.05.2016	1.210.776
Ýstanbul 1	Ürün1	30.06.2016	1.225.545
Ýstanbul 1	Ürün1	31.07.2016	1.335.723
Ýstanbul 1	Ürün1	31.08.2016	943.200
Ýstanbul 1	Ürün1	30.09.2016	958.638
Ýstanbul 2	Ürün1	31.01.2016	865.682
Ýstanbul 2	Ürün1	29.02.2016	977.295
Ýstanbul 2	Ürün1	31.03.2016	1.053.228
Ýstanbul 2	Ürün1	30.04.2016	1.014.623
Ýstanbul 2	Ürün1	31.05.2016	837.749
Ýstanbul 2	Ürün1	30.06.2016	844.662
Ýstanbul 2	Ürün1	31.07.2016	850.630
Ýstanbul 2	Ürün1	31.08.2016	886.319
Ýstanbul 2	Ürün1	30.09.2016	912.563
Ýstanbul 3	Ürün1	31.01.2016	597.599
Ýstanbul 3	Ürün1	29.02.2016	640.597
Ýstanbul 3	Ürün1	31.03.2016	592.235
Ýstanbul 3	Ürün1	30.04.2016	478.562
Ýstanbul 3	Ürün1	31.05.2016	505.826
Ýstanbul 3	Ürün1	30.06.2016	707.398
Ýstanbul 3	Ürün1	31.07.2016	666.954
Ýstanbul 3	Ürün1	31.08.2016	714.340
Ýstanbul 3	Ürün1	30.09.2016	707.316
Marmara	Ürün1	31.01.2016	619.631
Marmara	Ürün1	29.02.2016	895.365
Marmara	Ürün1	31.03.2016	696.980
Marmara	Ürün1	30.04.2016	886.204
Marmara	Ürün1	31.05.2016	878.333
Marmara	Ürün1	30.06.2016	790.156
Marmara	Ürün1	31.07.2016	774.501
Marmara	Ürün1	31.08.2016	840.386
Marmara	Ürün1	30.09.2016	1.218.416
Baþkent 1	Ürün2	31.01.2016	182.319
Baþkent 1	Ürün2	29.02.2016	222.850
Baþkent 1	Ürün2	31.03.2016	260.191
Baþkent 1	Ürün2	30.04.2016	225.697
Baþkent 1	Ürün2	31.05.2016	211.031
Baþkent 1	Ürün2	30.06.2016	272.961
Baþkent 1	Ürün2	31.07.2016	285.102
Baþkent 1	Ürün2	31.08.2016	192.825
Baþkent 1	Ürün2	30.09.2016	268.460
Baþkent 2	Ürün2	30.04.2016	504.827
Baþkent 2	Ürün2	31.05.2016	338.663
Baþkent 2	Ürün2	30.06.2016	336.907
Baþkent 2	Ürün2	31.07.2016	341.605
Baþkent 2	Ürün2	31.08.2016	337.370
Baþkent 2	Ürün2	30.09.2016	384.530
Batý Karadeniz	Ürün2	31.01.2016	97.752
Batý Karadeniz	Ürün2	29.02.2016	85.300
Batý Karadeniz	Ürün2	31.03.2016	101.867
Batý Karadeniz	Ürün2	30.04.2016	132.877
Batý Karadeniz	Ürün2	31.05.2016	122.221
Batý Karadeniz	Ürün2	30.06.2016	100.924
Batý Karadeniz	Ürün2	31.07.2016	122.321
Batý Karadeniz	Ürün2	31.08.2016	123.639
Batý Karadeniz	Ürün2	30.09.2016	148.557
Doðru Karadeniz	Ürün2	31.01.2016	119.956
Doðru Karadeniz	Ürün2	29.02.2016	106.444
Doðru Karadeniz	Ürün2	31.03.2016	110.059
Doðru Karadeniz	Ürün2	30.04.2016	139.509
Doðru Karadeniz	Ürün2	31.05.2016	143.931
Doðru Karadeniz	Ürün2	30.06.2016	119.703
